emotion,gender,block,picture,duration,mask
angry,F,1,09F_AN_C.png,0.017,mask_33M_SA_C.png
angry,F,1,10F_AN_C.png,0.017,mask_36M_AN_C.png
angry,F,1,03F_AN_C.png,0.017,mask_14F_NE_O.png
angry,F,1,08F_AN_C.png,0.017,mask_35M_SP_O.png
angry,F,1,05F_AN_C.png,0.017,mask_10F_DI_O.png
angry,F,1,11F_AN_C.png,0.017,mask_07F_FE_O.png
angry,F,1,14F_AN_C.png,0.017,mask_37M_HA_C.png
angry,F,1,12F_AN_C.png,0.017,mask_41M_SA_O.png
angry,F,1,06F_AN_C.png,0.017,mask_23M_HA_C.png
angry,F,1,01f_an_c.png,0.017,mask_10F_CA_O.png
angry,F,1,07F_AN_C.png,0.017,mask_13F_FE_O.png
angry,F,1,13F_AN_C.png,0.017,mask_21M_SP_O.png
angry,F,1,09F_AN_C.png,0.034,mask_27M_SA_C.png
angry,F,1,10F_AN_C.png,0.034,mask_34M_CA_C.png
angry,F,1,03F_AN_C.png,0.034,mask_07F_HA_O.png
angry,F,1,08F_AN_C.png,0.034,mask_07F_HA_X.png
angry,F,1,05F_AN_C.png,0.034,mask_37M_FE_C.png
angry,F,1,11F_AN_C.png,0.034,mask_42M_NE_O.png
angry,F,1,14F_AN_C.png,0.034,mask_08F_NE_C.png
angry,F,1,12F_AN_C.png,0.034,mask_33M_SA_C.png
angry,F,1,06F_AN_C.png,0.034,mask_36M_AN_C.png
angry,F,1,01f_an_c.png,0.034,mask_14F_NE_O.png
angry,F,1,07F_AN_C.png,0.034,mask_35M_SP_O.png
angry,F,1,13F_AN_C.png,0.034,mask_10F_DI_O.png
angry,F,1,09F_AN_C.png,0.050,mask_37M_HA_C.png
angry,F,1,10F_AN_C.png,0.050,mask_41M_SA_O.png
angry,F,1,03F_AN_C.png,0.050,mask_23M_HA_C.png
angry,F,1,08F_AN_C.png,0.050,mask_10F_CA_O.png
angry,F,1,05F_AN_C.png,0.050,mask_13F_FE_O.png
angry,F,1,11F_AN_C.png,0.050,mask_21M_SP_O.png
angry,F,1,14F_AN_C.png,0.050,mask_22M_AN_C.png
